airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
American Airlines,SJC,GDL,10,12,2019,17,unspecified,Back Home,Home,Car rental,False,0
American Airlines,JFK,GDL,5,9,2018,85,male,Business/Work,Short-term homestay,,True,384
Delta Airlines,SJC,LAX,13,7,2015,49,male,Back Home,Home,Own car,False,0
American Airlines,LAX,GDL,17,6,2019,31,male,On vacation/Pleasure,Home,Mobility as a service,False,0
Delta Airlines,PDX,SJC,21,7,2016,42,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
Aeromexico,GDL,SJC,1,2,2021,6,undisclosed,Business/Work,Friend/Family,,True,633
Alaska,JFK,LAX,18,5,2021,7,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0
Volaris,GDL,JFK,19,7,2020,37,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Alaska,PDX,SJC,27,8,2016,18,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,SJC,16,6,2019,24,unspecified,Business/Work,Hotel,,True,31
Volaris,SJC,JFK,23,6,2019,24,female,On vacation/Pleasure,Hotel,,True,621
American Airlines,JFK,PDX,24,4,2020,3,undisclosed,Business/Work,Friend/Family,,True,481
American Airlines,SJC,GDL,20,6,2019,81,female,Business/Work,Friend/Family,,True,295
Volaris,PDX,SJC,31,1,2021,11,undisclosed,Back Home,Home,Own car,False,0
Aeromexico,SJC,PDX,23,8,2020,74,undisclosed,On vacation/Pleasure,Home,Airport cab,False,0
Aeromexico,GDL,PDX,9,11,2016,18,male,Business/Work,Home,,True,551
American Airlines,JFK,LAX,28,1,2022,48,unspecified,Business/Work,Home,,True,166
Aeromexico,JFK,SJC,13,9,2014,22,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,LAX,PDX,19,2,2014,27,unspecified,Back Home,Home,Pickup,False,0
Volaris,JFK,GDL,28,8,2014,30,male,Back Home,Home,Public Transportation,False,0
Alaska,PDX,GDL,14,4,2013,36,female,On vacation/Pleasure,Home,,True,131
American Airlines,JFK,SJC,26,8,2013,56,female,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Volaris,GDL,PDX,23,7,2014,1,undisclosed,Back Home,Home,Own car,False,0
Alaska,SJC,JFK,17,3,2020,37,undisclosed,Business/Work,Home,,True,657
Volaris,JFK,SJC,9,11,2017,26,female,On vacation/Pleasure,Hotel,,True,162
Aeromexico,GDL,SJC,11,8,2016,15,male,Business/Work,Short-term homestay,,True,664
Aeromexico,GDL,SJC,23,6,2019,52,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,PDX,GDL,28,12,2022,84,female,Business/Work,Home,,True,446
Alaska,JFK,LAX,26,9,2018,53,male,Business/Work,Short-term homestay,Own car,False,0
Delta Airlines,GDL,PDX,27,5,2017,34,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Alaska,GDL,SJC,25,3,2014,7,female,Business/Work,Short-term homestay,,True,503
Aeromexico,GDL,SJC,5,2,2023,16,undisclosed,On vacation/Pleasure,Home,,True,514
Alaska,GDL,JFK,6,11,2022,33,male,Business/Work,Home,,True,316
Aeromexico,GDL,SJC,5,2,2021,19,undisclosed,Back Home,Home,Car rental,False,0
Volaris,JFK,GDL,5,2,2015,66,male,Business/Work,Short-term homestay,Own car,False,0
Volaris,SJC,JFK,8,8,2021,45,female,Back Home,Home,Car rental,False,0
Volaris,PDX,GDL,31,8,2015,37,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Delta Airlines,JFK,PDX,8,1,2014,6,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Aeromexico,LAX,GDL,4,8,2016,39,undisclosed,On vacation/Pleasure,Short-term homestay,,True,583
Aeromexico,SJC,PDX,13,10,2018,89,female,Back Home,Home,Airport cab,False,0
Delta Airlines,JFK,LAX,27,8,2015,40,male,On vacation/Pleasure,Home,Public Transportation,False,0
Alaska,JFK,GDL,9,5,2020,80,female,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,PDX,17,12,2015,80,male,On vacation/Pleasure,Home,Airport cab,False,0
American Airlines,JFK,GDL,12,8,2020,34,male,Back Home,Home,Car rental,False,0
Alaska,SJC,PDX,21,11,2019,2,unspecified,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Volaris,SJC,GDL,17,8,2020,75,male,Business/Work,Short-term homestay,,True,238
Aeromexico,PDX,SJC,5,1,2021,68,female,Back Home,Home,Public Transportation,False,0
Aeromexico,PDX,LAX,11,7,2016,29,female,Business/Work,Short-term homestay,,True,71
Delta Airlines,LAX,JFK,15,3,2019,27,female,Business/Work,Home,,True,67
Volaris,GDL,PDX,12,6,2017,43,unspecified,Back Home,Home,Own car,False,0
American Airlines,LAX,PDX,4,3,2017,47,male,Business/Work,Friend/Family,Mobility as a service,False,0
Aeromexico,JFK,GDL,5,11,2014,27,female,Back Home,Home,Airport cab,False,0
American Airlines,SJC,JFK,16,4,2015,64,undisclosed,On vacation/Pleasure,Short-term homestay,,True,506
Aeromexico,LAX,JFK,24,6,2019,49,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,JFK,LAX,1,4,2018,36,male,Back Home,Home,Mobility as a service,False,0
Volaris,JFK,GDL,17,2,2016,30,undisclosed,Business/Work,Home,,True,476
Aeromexico,LAX,SJC,28,10,2018,75,undisclosed,Back Home,Home,Own car,False,0
Alaska,PDX,JFK,18,1,2015,36,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Aeromexico,LAX,GDL,30,10,2019,6,undisclosed,Back Home,Home,Pickup,False,0
Volaris,JFK,LAX,26,5,2013,12,undisclosed,On vacation/Pleasure,Home,,True,268
Volaris,LAX,GDL,4,10,2015,31,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Delta Airlines,JFK,GDL,30,1,2013,75,undisclosed,On vacation/Pleasure,Hotel,,True,475
Delta Airlines,GDL,SJC,14,10,2021,67,undisclosed,On vacation/Pleasure,Friend/Family,,True,358
Volaris,LAX,GDL,15,6,2017,2,male,Business/Work,Short-term homestay,Public Transportation,False,0
Alaska,PDX,SJC,2,10,2016,23,unspecified,Back Home,Home,Airport cab,False,0
Alaska,PDX,SJC,23,7,2016,16,undisclosed,Back Home,Home,Own car,False,0
American Airlines,JFK,PDX,6,5,2017,64,unspecified,On vacation/Pleasure,Home,,True,569
Aeromexico,SJC,JFK,23,1,2023,47,undisclosed,On vacation/Pleasure,Friend/Family,,True,488
Alaska,JFK,SJC,19,11,2019,34,unspecified,Business/Work,Short-term homestay,Own car,False,0
American Airlines,GDL,LAX,24,1,2020,62,male,Back Home,Home,Car rental,False,0
Aeromexico,GDL,LAX,2,11,2016,80,female,Back Home,Home,Airport cab,False,0
American Airlines,GDL,JFK,26,10,2016,1,undisclosed,On vacation/Pleasure,Hotel,,True,597
Volaris,LAX,GDL,28,11,2021,86,male,Back Home,Home,Mobility as a service,False,0
American Airlines,JFK,PDX,13,2,2018,72,female,Business/Work,Hotel,Own car,False,0
Aeromexico,GDL,LAX,24,1,2020,34,undisclosed,On vacation/Pleasure,Short-term homestay,,True,102
Delta Airlines,PDX,SJC,1,7,2013,20,undisclosed,Back Home,Home,Car rental,False,0
Delta Airlines,LAX,SJC,13,8,2015,78,undisclosed,Back Home,Home,Mobility as a service,False,0
Aeromexico,LAX,JFK,11,11,2022,78,male,Back Home,Home,Airport cab,False,0
Volaris,SJC,LAX,3,4,2022,66,undisclosed,Back Home,Home,Car rental,False,0
Volaris,GDL,PDX,24,1,2019,46,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Delta Airlines,PDX,SJC,23,1,2022,20,unspecified,On vacation/Pleasure,Home,Mobility as a service,False,0
Alaska,SJC,LAX,29,12,2020,74,undisclosed,On vacation/Pleasure,Friend/Family,,True,426
Delta Airlines,SJC,JFK,6,3,2015,13,unspecified,Business/Work,Friend/Family,Own car,False,0
Alaska,JFK,PDX,20,11,2018,65,male,Business/Work,Home,,True,261
Delta Airlines,LAX,GDL,13,10,2015,5,male,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Alaska,PDX,SJC,21,9,2019,49,male,Back Home,Home,Own car,False,0
Aeromexico,PDX,JFK,25,5,2013,15,female,Business/Work,Short-term homestay,Airport cab,False,0
Volaris,PDX,GDL,1,10,2016,32,male,On vacation/Pleasure,Hotel,Car rental,False,0
Volaris,SJC,PDX,24,1,2015,56,female,Business/Work,Home,,True,155
American Airlines,GDL,PDX,20,1,2018,71,unspecified,Back Home,Home,Public Transportation,False,0
Alaska,SJC,GDL,15,10,2022,57,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Alaska,JFK,LAX,22,11,2014,58,unspecified,Business/Work,Home,,True,686
Volaris,PDX,LAX,7,4,2015,53,undisclosed,On vacation/Pleasure,Short-term homestay,,True,244
Volaris,SJC,GDL,14,2,2022,72,male,Business/Work,Home,,True,513
American Airlines,LAX,GDL,8,9,2017,12,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,PDX,JFK,29,6,2022,18,unspecified,Back Home,Home,Public Transportation,False,0
Alaska,SJC,PDX,9,6,2013,48,female,Back Home,Home,Own car,False,0
Alaska,PDX,JFK,23,8,2014,39,male,Business/Work,Hotel,Public Transportation,False,0
Aeromexico,SJC,LAX,7,11,2022,43,undisclosed,Business/Work,Home,Mobility as a service,False,0
Aeromexico,GDL,JFK,10,3,2019,86,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
Alaska,LAX,PDX,2,2,2019,74,undisclosed,Back Home,Home,Pickup,False,0
Aeromexico,SJC,JFK,30,4,2014,24,unspecified,Business/Work,Home,,True,282
Alaska,PDX,SJC,9,4,2014,80,undisclosed,On vacation/Pleasure,Home,,True,385
Alaska,PDX,LAX,11,6,2022,15,unspecified,Business/Work,Home,,True,398
Alaska,GDL,JFK,16,8,2021,72,male,On vacation/Pleasure,Friend/Family,Own car,False,0
Volaris,SJC,JFK,6,1,2019,8,unspecified,Back Home,Home,Own car,False,0
Alaska,GDL,JFK,15,7,2022,73,female,On vacation/Pleasure,Home,Airport cab,False,0
Volaris,LAX,GDL,29,6,2018,37,male,Business/Work,Home,Pickup,False,0
Delta Airlines,SJC,PDX,21,1,2022,84,unspecified,Business/Work,Hotel,Own car,False,0
Delta Airlines,SJC,LAX,15,3,2023,86,unspecified,On vacation/Pleasure,Short-term homestay,,True,319
Aeromexico,LAX,JFK,23,1,2015,69,undisclosed,Business/Work,Hotel,,True,387
Volaris,LAX,SJC,21,1,2015,67,undisclosed,On vacation/Pleasure,Hotel,,True,53
Volaris,SJC,PDX,18,10,2020,44,unspecified,On vacation/Pleasure,Hotel,,True,596
Volaris,SJC,JFK,6,12,2021,74,male,Business/Work,Friend/Family,,True,536
American Airlines,GDL,SJC,31,5,2019,80,female,On vacation/Pleasure,Home,Car rental,False,0
Volaris,PDX,SJC,18,8,2015,12,undisclosed,On vacation/Pleasure,Friend/Family,,True,43
Alaska,LAX,SJC,17,12,2014,45,male,Back Home,Home,Car rental,False,0
Delta Airlines,PDX,SJC,23,5,2020,10,female,Business/Work,Friend/Family,Airport cab,False,0
Volaris,SJC,JFK,12,9,2022,45,male,Business/Work,Hotel,Airport cab,False,0
Volaris,PDX,SJC,27,1,2023,23,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
Volaris,SJC,JFK,11,1,2016,1,unspecified,Back Home,Home,Pickup,False,0
Aeromexico,JFK,PDX,13,3,2017,38,unspecified,Back Home,Home,Own car,False,0
Aeromexico,PDX,SJC,8,10,2014,24,undisclosed,Business/Work,Hotel,Pickup,False,0
Volaris,JFK,LAX,1,2,2022,26,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,SJC,13,3,2016,49,female,On vacation/Pleasure,Home,Car rental,False,0
Volaris,SJC,PDX,14,1,2023,43,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,GDL,LAX,6,1,2021,65,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Volaris,PDX,LAX,31,5,2019,52,undisclosed,Business/Work,Short-term homestay,,True,262
American Airlines,GDL,LAX,11,3,2022,62,undisclosed,Business/Work,Hotel,,True,120
Aeromexico,SJC,LAX,11,9,2019,20,female,Back Home,Home,Own car,False,0
American Airlines,PDX,SJC,20,6,2014,71,unspecified,Business/Work,Home,,True,187
Delta Airlines,SJC,GDL,21,7,2014,46,unspecified,On vacation/Pleasure,Short-term homestay,,True,652
American Airlines,JFK,PDX,25,10,2015,46,female,Business/Work,Home,,True,450
Alaska,PDX,LAX,8,12,2018,6,male,Back Home,Home,Pickup,False,0
Alaska,PDX,LAX,23,4,2015,24,female,Business/Work,Hotel,Airport cab,False,0
Volaris,PDX,GDL,23,7,2022,83,female,Business/Work,Hotel,Airport cab,False,0
Alaska,PDX,LAX,8,12,2017,29,undisclosed,Back Home,Home,Car rental,False,0
Delta Airlines,SJC,LAX,7,2,2021,77,undisclosed,Business/Work,Short-term homestay,Car rental,False,0
Delta Airlines,PDX,GDL,19,1,2013,14,unspecified,Business/Work,Short-term homestay,,True,192
Volaris,LAX,JFK,25,9,2019,18,undisclosed,Back Home,Home,Airport cab,False,0
American Airlines,LAX,JFK,3,10,2013,27,undisclosed,Back Home,Home,Public Transportation,False,0
Delta Airlines,JFK,GDL,26,7,2016,84,undisclosed,Business/Work,Hotel,Pickup,False,0
Aeromexico,JFK,PDX,31,5,2015,52,unspecified,Business/Work,Hotel,Own car,False,0
Alaska,PDX,LAX,10,4,2017,50,unspecified,Business/Work,Hotel,Airport cab,False,0
Alaska,LAX,GDL,6,11,2021,67,female,Back Home,Home,Pickup,False,0
American Airlines,LAX,PDX,21,9,2022,79,female,Back Home,Home,Mobility as a service,False,0
Alaska,LAX,PDX,15,8,2014,52,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,JFK,GDL,27,7,2016,28,female,On vacation/Pleasure,Short-term homestay,,True,337
Alaska,LAX,JFK,29,6,2015,88,unspecified,Business/Work,Hotel,,True,438
American Airlines,GDL,JFK,4,5,2015,55,unspecified,Back Home,Home,Own car,False,0
American Airlines,JFK,SJC,4,9,2014,3,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,SJC,LAX,22,1,2016,1,female,Back Home,Home,Own car,False,0
Delta Airlines,SJC,PDX,11,3,2013,13,undisclosed,Business/Work,Home,Car rental,False,0
Volaris,GDL,SJC,18,4,2022,88,undisclosed,Back Home,Home,Mobility as a service,False,0
American Airlines,SJC,GDL,16,12,2016,4,male,On vacation/Pleasure,Home,Own car,False,0
Volaris,LAX,GDL,11,11,2020,59,undisclosed,Business/Work,Hotel,,True,122
Delta Airlines,LAX,GDL,10,2,2023,59,female,Business/Work,Home,Airport cab,False,0
Alaska,SJC,GDL,19,4,2019,69,unspecified,Business/Work,Short-term homestay,,True,195
Delta Airlines,LAX,GDL,20,8,2015,13,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Delta Airlines,PDX,GDL,22,8,2022,75,undisclosed,Business/Work,Short-term homestay,,True,64
Volaris,PDX,GDL,17,5,2021,55,undisclosed,On vacation/Pleasure,Home,,True,713
Volaris,PDX,LAX,30,7,2014,74,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Volaris,SJC,PDX,1,12,2017,47,unspecified,Back Home,Home,Own car,False,0
Delta Airlines,JFK,GDL,11,10,2020,21,undisclosed,On vacation/Pleasure,Hotel,Mobility as a service,False,0
American Airlines,PDX,JFK,8,3,2020,43,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,GDL,JFK,26,2,2023,34,undisclosed,Business/Work,Hotel,,True,42
Aeromexico,JFK,SJC,20,1,2017,55,female,Business/Work,Short-term homestay,Own car,False,0
Alaska,LAX,JFK,1,11,2016,39,female,Business/Work,Home,Own car,False,0
Volaris,GDL,LAX,7,5,2014,7,unspecified,Business/Work,Friend/Family,Airport cab,False,0
Aeromexico,SJC,LAX,28,10,2017,46,undisclosed,Business/Work,Short-term homestay,Mobility as a service,False,0
Aeromexico,LAX,PDX,10,4,2021,29,undisclosed,Business/Work,Short-term homestay,,True,711
Alaska,LAX,GDL,22,1,2018,21,unspecified,On vacation/Pleasure,Hotel,,True,638
Volaris,LAX,SJC,15,2,2015,53,undisclosed,Back Home,Home,Car rental,False,0
Aeromexico,SJC,LAX,19,7,2013,13,unspecified,On vacation/Pleasure,Hotel,,True,385
Volaris,GDL,LAX,8,6,2018,69,unspecified,On vacation/Pleasure,Short-term homestay,,True,76
American Airlines,LAX,PDX,6,2,2020,66,unspecified,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
American Airlines,PDX,GDL,3,5,2015,14,unspecified,Business/Work,Friend/Family,,True,466
Alaska,LAX,JFK,20,4,2019,15,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0
American Airlines,PDX,JFK,4,7,2021,48,female,Business/Work,Friend/Family,,True,512
Delta Airlines,SJC,JFK,22,2,2013,62,female,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Alaska,PDX,JFK,9,4,2021,2,unspecified,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Delta Airlines,GDL,SJC,5,2,2023,79,unspecified,Back Home,Home,Mobility as a service,False,0
Delta Airlines,SJC,PDX,14,12,2021,66,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,JFK,PDX,11,8,2014,19,male,Back Home,Home,Public Transportation,False,0
Volaris,SJC,LAX,13,7,2018,70,female,Business/Work,Friend/Family,,True,432
Volaris,GDL,PDX,21,12,2019,73,unspecified,Business/Work,Short-term homestay,Pickup,False,0
Volaris,SJC,JFK,27,8,2018,16,unspecified,On vacation/Pleasure,Short-term homestay,,True,307
Aeromexico,JFK,LAX,27,9,2021,1,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Aeromexico,PDX,GDL,3,1,2016,76,undisclosed,On vacation/Pleasure,Home,,True,216
Volaris,PDX,GDL,9,2,2018,11,male,Business/Work,Short-term homestay,,True,159
Delta Airlines,LAX,GDL,8,8,2022,65,male,Business/Work,Short-term homestay,,True,329
Delta Airlines,LAX,JFK,25,9,2015,50,undisclosed,Back Home,Home,Public Transportation,False,0
Volaris,PDX,GDL,9,9,2015,20,undisclosed,Business/Work,Home,,True,545
Delta Airlines,LAX,PDX,15,9,2021,15,female,On vacation/Pleasure,Friend/Family,,True,123
Delta Airlines,PDX,JFK,20,10,2015,37,unspecified,On vacation/Pleasure,Hotel,Own car,False,0
Alaska,SJC,PDX,8,12,2018,6,undisclosed,Back Home,Home,Pickup,False,0
Volaris,JFK,PDX,23,6,2015,80,male,Business/Work,Hotel,Pickup,False,0
American Airlines,LAX,PDX,29,5,2013,76,female,Back Home,Home,Public Transportation,False,0
Alaska,SJC,JFK,30,9,2013,18,unspecified,On vacation/Pleasure,Hotel,,True,644
Volaris,GDL,SJC,11,11,2014,62,female,Business/Work,Hotel,,True,669
Delta Airlines,SJC,LAX,29,3,2013,3,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,PDX,JFK,4,12,2015,40,male,Back Home,Home,Car rental,False,0
American Airlines,SJC,GDL,10,3,2018,85,female,Business/Work,Friend/Family,,True,280
American Airlines,PDX,SJC,2,4,2023,36,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,SJC,LAX,9,10,2014,89,unspecified,Business/Work,Short-term homestay,,True,287
Delta Airlines,LAX,JFK,11,5,2021,30,undisclosed,Back Home,Home,Airport cab,False,0
Volaris,PDX,GDL,12,11,2019,24,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,LAX,GDL,29,9,2017,72,unspecified,On vacation/Pleasure,Home,Own car,False,0
American Airlines,LAX,SJC,12,3,2017,78,undisclosed,Back Home,Home,Mobility as a service,False,0
Aeromexico,GDL,LAX,13,10,2018,74,female,Back Home,Home,Airport cab,False,0
Alaska,PDX,JFK,31,3,2022,63,unspecified,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Volaris,GDL,LAX,28,8,2021,72,male,Business/Work,Home,Own car,False,0
Alaska,PDX,GDL,20,12,2016,79,undisclosed,On vacation/Pleasure,Hotel,,True,389
Aeromexico,LAX,PDX,8,6,2019,19,undisclosed,Business/Work,Short-term homestay,Mobility as a service,False,0
Volaris,LAX,GDL,23,2,2020,51,undisclosed,Business/Work,Home,Public Transportation,False,0
Alaska,SJC,GDL,31,10,2022,84,undisclosed,On vacation/Pleasure,Home,Car rental,False,0
Aeromexico,GDL,SJC,25,3,2021,66,undisclosed,Business/Work,Friend/Family,Pickup,False,0
Aeromexico,SJC,LAX,29,2,2020,1,unspecified,Back Home,Home,Own car,False,0
Volaris,JFK,GDL,20,5,2014,43,male,Business/Work,Short-term homestay,,True,211
American Airlines,PDX,SJC,12,6,2014,24,male,Back Home,Home,Mobility as a service,False,0
American Airlines,PDX,LAX,17,8,2013,63,unspecified,Business/Work,Hotel,Own car,False,0
Delta Airlines,GDL,SJC,15,4,2013,7,undisclosed,Business/Work,Hotel,,True,154
Delta Airlines,PDX,JFK,29,3,2021,60,unspecified,On vacation/Pleasure,Home,,True,124
American Airlines,PDX,LAX,23,3,2013,17,unspecified,Business/Work,Hotel,Pickup,False,0
American Airlines,LAX,SJC,1,6,2013,50,female,On vacation/Pleasure,Hotel,,True,257
Volaris,JFK,LAX,22,4,2016,36,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
American Airlines,PDX,SJC,1,4,2013,7,unspecified,Business/Work,Friend/Family,Pickup,False,0
Volaris,LAX,PDX,11,8,2015,43,unspecified,On vacation/Pleasure,Short-term homestay,,True,131
Aeromexico,SJC,PDX,7,11,2017,24,undisclosed,Business/Work,Hotel,,True,679
Delta Airlines,SJC,GDL,18,12,2017,88,female,Back Home,Home,Car rental,False,0
Alaska,SJC,LAX,2,6,2022,90,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0
Aeromexico,GDL,SJC,18,10,2020,64,unspecified,Business/Work,Hotel,,True,218
Aeromexico,LAX,PDX,24,7,2017,51,male,Business/Work,Home,Pickup,False,0
American Airlines,JFK,SJC,13,3,2016,3,unspecified,Business/Work,Home,,True,209
Alaska,GDL,PDX,7,11,2017,25,male,On vacation/Pleasure,Home,Mobility as a service,False,0
Aeromexico,SJC,JFK,21,7,2014,17,undisclosed,Back Home,Home,Car rental,False,0
Volaris,LAX,JFK,1,12,2017,60,undisclosed,Business/Work,Friend/Family,Airport cab,False,0
Alaska,GDL,JFK,14,5,2016,59,unspecified,Business/Work,Home,,True,422
Delta Airlines,SJC,LAX,4,8,2016,33,male,Business/Work,Friend/Family,Public Transportation,False,0
American Airlines,SJC,JFK,25,6,2017,24,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,PDX,GDL,18,8,2018,11,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,JFK,5,6,2013,69,undisclosed,Back Home,Home,Car rental,False,0
Alaska,GDL,SJC,23,12,2021,40,male,On vacation/Pleasure,Friend/Family,,True,470
American Airlines,SJC,LAX,10,8,2013,89,unspecified,Back Home,Home,Mobility as a service,False,0
Delta Airlines,SJC,LAX,31,5,2015,48,female,Business/Work,Home,Pickup,False,0
Alaska,LAX,JFK,24,9,2021,32,unspecified,On vacation/Pleasure,Friend/Family,,True,667
Delta Airlines,LAX,PDX,24,11,2017,18,female,Business/Work,Home,,True,481
Alaska,LAX,JFK,11,12,2019,6,female,Back Home,Home,Airport cab,False,0
Volaris,LAX,JFK,29,8,2017,18,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0
Volaris,SJC,LAX,24,8,2015,11,undisclosed,On vacation/Pleasure,Short-term homestay,,True,294
American Airlines,GDL,JFK,27,10,2018,51,female,On vacation/Pleasure,Home,,True,372
American Airlines,LAX,SJC,8,2,2013,20,undisclosed,Back Home,Home,Car rental,False,0
American Airlines,LAX,SJC,14,1,2017,42,female,Back Home,Home,Public Transportation,False,0
Delta Airlines,SJC,LAX,2,11,2016,68,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0
Alaska,PDX,JFK,10,9,2021,62,female,Back Home,Home,Car rental,False,0
Aeromexico,GDL,JFK,7,1,2018,10,male,Business/Work,Home,Public Transportation,False,0
American Airlines,JFK,GDL,5,1,2013,59,female,On vacation/Pleasure,Friend/Family,,True,590
Alaska,SJC,JFK,10,6,2013,79,unspecified,Back Home,Home,Pickup,False,0
American Airlines,PDX,JFK,26,3,2016,43,male,Back Home,Home,Mobility as a service,False,0
Volaris,SJC,LAX,21,9,2016,62,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,LAX,SJC,25,6,2016,47,female,Business/Work,Hotel,,True,160
Volaris,LAX,SJC,14,4,2018,14,male,Business/Work,Friend/Family,,True,588
American Airlines,LAX,PDX,27,2,2016,31,female,Business/Work,Short-term homestay,,True,35
Alaska,GDL,PDX,15,9,2014,71,male,Back Home,Home,Pickup,False,0
Alaska,GDL,SJC,24,8,2022,71,unspecified,On vacation/Pleasure,Friend/Family,,True,389
Volaris,GDL,JFK,30,7,2019,22,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Aeromexico,SJC,JFK,9,8,2013,79,female,Back Home,Home,Car rental,False,0
Aeromexico,PDX,JFK,26,9,2016,66,female,Business/Work,Home,,True,521
American Airlines,GDL,LAX,30,8,2022,54,female,Back Home,Home,Mobility as a service,False,0
American Airlines,GDL,LAX,15,7,2022,23,male,Back Home,Home,Pickup,False,0
American Airlines,SJC,PDX,15,7,2014,3,female,Business/Work,Home,Mobility as a service,False,0
American Airlines,GDL,SJC,12,7,2015,36,unspecified,On vacation/Pleasure,Short-term homestay,,True,70
Aeromexico,GDL,SJC,4,2,2015,39,unspecified,Back Home,Home,Airport cab,False,0
Volaris,JFK,PDX,25,6,2022,14,male,Business/Work,Friend/Family,Own car,False,0
Alaska,LAX,SJC,28,4,2016,81,male,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,GDL,PDX,1,12,2019,46,undisclosed,Back Home,Home,Own car,False,0
American Airlines,SJC,LAX,1,3,2018,77,male,Business/Work,Hotel,Public Transportation,False,0
Aeromexico,LAX,SJC,5,7,2019,10,female,Business/Work,Short-term homestay,Car rental,False,0
American Airlines,LAX,JFK,29,5,2016,9,undisclosed,Business/Work,Home,,True,492
Aeromexico,SJC,GDL,10,6,2017,21,male,Business/Work,Home,Car rental,False,0
Alaska,SJC,JFK,17,9,2015,50,female,Business/Work,Short-term homestay,,True,331
Aeromexico,LAX,JFK,24,1,2021,50,male,Back Home,Home,Own car,False,0
American Airlines,JFK,SJC,10,9,2015,69,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
American Airlines,SJC,LAX,27,2,2014,82,female,Back Home,Home,Car rental,False,0
Volaris,SJC,PDX,14,9,2015,28,male,Back Home,Home,Pickup,False,0
Volaris,JFK,PDX,13,2,2021,81,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,PDX,SJC,5,4,2013,1,male,Back Home,Home,Public Transportation,False,0
Volaris,LAX,GDL,5,11,2019,47,male,Business/Work,Short-term homestay,Own car,False,0
Alaska,JFK,PDX,4,2,2023,73,unspecified,Back Home,Home,Pickup,False,0
Volaris,PDX,GDL,21,10,2022,56,unspecified,Back Home,Home,Pickup,False,0
Aeromexico,JFK,PDX,20,12,2017,25,male,Back Home,Home,Airport cab,False,0
Aeromexico,JFK,PDX,7,11,2020,78,female,Back Home,Home,Pickup,False,0
Alaska,LAX,JFK,24,10,2015,1,female,Back Home,Home,Pickup,False,0
Alaska,SJC,PDX,7,11,2016,80,undisclosed,Back Home,Home,Car rental,False,0
Delta Airlines,SJC,GDL,25,11,2022,54,unspecified,Business/Work,Home,,True,165
Alaska,JFK,GDL,30,1,2018,76,male,On vacation/Pleasure,Home,,True,458
